cleaningDay,first_clean_day,tau0,beta_abm,theta_hat,theta_low,theta_high,sigma_hat,weighted_rmse,neg_loglik_cum_min,init_env,theta_min,theta_max,theta_grid_n,ci_grid_n,cleaning_eff,data_type
180.0,20,160.0,0.03,3.076345431789737,3.0188071265547967,3.121032699977175,0.5040480643294996,0.2021060667614244,69.38558709101899,2,0.5,12.0,800,800,0.9,B
180.0,20,160.0,0.035,3.220275344180225,3.1723957135485876,3.25011359406914,0.433755675935227,0.16728897802561435,80.9503128834302,2,0.5,12.0,800,800,0.9,B
180.0,20,160.0,0.04,3.40738423028786,3.368880989502099,3.431362062616279,3.136183763042493,0.36962875679846785,99.15343511152808,2,0.5,12.0,800,800,0.9,B
180.0,20,160.0,0.045,3.565707133917397,3.525901988360347,3.593480527838555,4.232096057730964,0.3518667431485201,109.47288727272182,2,0.5,12.0,800,800,0.9,B
180.0,20,160.0,0.05,3.7816020025031287,3.732377965395306,3.816002753492434,8.158018820718663,0.5322567083093646,128.06985773578276,2,0.5,12.0,800,800,0.9,B
180.0,20,160.0,0.055,3.9687108886107634,3.9196628674918492,4.01724042692721,2.877208511763502,0.22090454381619423,130.65423168198686,2,0.5,12.0,800,800,0.9,B
180.0,20,160.0,0.06,4.314142678347935,4.248611567138371,4.366187648356264,9.539281736969269,0.3414550407428113,140.97097370866555,2,0.5,12.0,800,800,0.9,B
360.0,20,340.0,0.02,2.3135168961201504,2.2309720262796717,2.380701795471923,0.2559411323303124,0.15485358661063253,52.80561181004279,2,0.5,12.0,800,800,0.9,B
360.0,20,340.0,0.025,2.5438047559449313,2.4935150946294313,2.58843315846118,0.8157770281433481,0.26334703772282975,68.18821229109506,2,0.5,12.0,800,800,0.9,B
360.0,20,340.0,0.03,2.7453066332916145,2.700015048838281,2.778036998288026,1.9954275497996112,0.36309596405420386,82.57543420433306,2,0.5,12.0,800,800,0.9,B
360.0,20,340.0,0.035,2.9468085106382977,2.9007633438690252,2.982463213191631,4.858310539540906,0.5549748157793212,104.98736007736214,2,0.5,12.0,800,800,0.9,B
360.0,20,340.0,0.04,3.2058823529411766,3.1617688142470306,3.249951300504529,6.596995818001825,0.5772034412395796,119.72831812744305,2,0.5,12.0,800,800,0.9,B
360.0,20,340.0,0.045,3.5081351689612017,3.464414535323371,3.560713770980612,2.830695744791478,0.25626642878497974,121.07676414862401,2,0.5,12.0,800,800,0.9,B
360.0,20,340.0,0.05,3.9687108886107634,3.909739156495044,4.03052513624996,7.82812966214345,0.3284003313879783,136.47719105645737,2,0.5,12.0,800,800,0.9,B
360.0,20,340.0,0.055,4.357321652065082,4.293704390868495,4.433628234611027,25.972777999714985,0.8576172872185996,153.35573271686033,2,0.5,12.0,800,800,0.9,B
360.0,20,340.0,0.06,4.889862327909888,4.80943918433653,4.966498151672326,28.582163786674172,0.9883592257546829,162.64066836594918,2,0.5,12.0,800,800,0.9,B
