cleaningDay,first_clean_day,tau_offset_days,p_wash,beta_abm,theta_hat,theta_low,theta_high,sigma_hat,weighted_rmse,neg_loglik_cum_min,init_env,theta_min,theta_max,theta_grid_n,ci_grid_n,cleaning_eff
90,20,70,0.9,0.03,3.3508771929824563,3.1680872727686236,3.5106006141199466,0.33298984636822687,0.15275333704252286,36.69545052338043,9,0.1,12.0,400,400,0.9
90,20,70,0.9,0.035,3.470175438596492,3.326599640199606,3.5753345600629323,0.7648200811272672,0.4190568138063247,35.62064728064659,9,0.1,12.0,400,400,0.9
90,20,70,0.9,0.04,3.7385964912280705,3.5982047318093437,3.834996240442882,1.1665386511439886,0.3864943013206585,44.22584354490786,9,0.1,12.0,400,400,0.9
90,20,70,0.9,0.045,3.8578947368421055,3.7521890045521173,3.958446346048456,1.8525196901895418,0.5200322573995216,48.63156602637951,9,0.1,12.0,400,400,0.9
90,20,70,0.9,0.05,3.977192982456141,3.856969610369502,4.050809157953574,2.4625187367471293,0.6134746895016859,52.32493040253354,9,0.1,12.0,400,400,0.9
90,20,70,0.9,0.055,4.245614035087719,4.150264223813117,4.308800762998398,4.720016680489007,0.7728377568679576,61.950207556784704,9,0.1,12.0,400,400,0.9
90,20,70,0.9,0.06,4.394736842105263,4.299100943844818,4.465299672291777,6.433748046529226,0.8112548736756378,67.63657934400814,9,0.1,12.0,400,400,0.9
180,20,160,0.9,0.02,2.2771929824561408,2.0875585198925495,2.444096742731636,0.21026590028210906,0.17415397511130254,25.44631310019206,9,0.1,12.0,400,400,0.9
180,20,160,0.9,0.025,2.605263157894737,2.43773231316561,2.733249589919208,0.6225717863955837,0.3520055239076672,33.00799540014672,9,0.1,12.0,400,400,0.9
180,20,160,0.9,0.03,2.903508771929825,2.7730617692429695,3.0063338944444356,0.7550569457631302,0.3205645368866435,38.241357705445864,9,0.1,12.0,400,400,0.9
180,20,160,0.9,0.035,3.26140350877193,3.1704266343135346,3.3402948621284203,2.246846028997811,0.5950496939039304,48.64296907474272,9,0.1,12.0,400,400,0.9
180,20,160,0.9,0.04,3.3508771929824563,3.274469667919862,3.4360490749963706,3.5979156643291215,0.8270029243778272,54.80936354706756,9,0.1,12.0,400,400,0.9
180,20,160,0.9,0.045,3.4403508771929827,3.3566634397363986,3.5275285806262624,4.048370130239062,0.8771342635257646,58.555068192949086,9,0.1,12.0,400,400,0.9
180,20,160,0.9,0.05,3.8578947368421055,3.742895522419231,3.939669708324797,8.133793748015064,0.8387293688125581,68.60560693013402,9,0.1,12.0,400,400,0.9
180,20,160,0.9,0.055,4.126315789473685,4.029510004856236,4.2464778379776424,8.860426277581242,0.8373280727023753,73.14861321561138,9,0.1,12.0,400,400,0.9
180,20,160,0.9,0.06,4.484210526315789,4.341308399502714,4.612008397347706,10.594025058798263,0.6926249665976899,76.92208277841986,9,0.1,12.0,400,400,0.9
360,20,340,0.9,0.02,2.1877192982456144,2.048349447888295,2.3209799430162015,0.5894697984113939,0.3434766151994957,32.33682100154514,9,0.1,12.0,400,400,0.9
360,20,340,0.9,0.025,2.485964912280702,2.3434584136710175,2.585014321743511,1.1603303011430668,0.45838188782643624,40.792745422639385,9,0.1,12.0,400,400,0.9
360,20,340,0.9,0.03,2.8140350877192986,2.704884459640813,2.888484944251631,2.401480711468734,0.6696687198840408,48.124483807720225,9,0.1,12.0,400,400,0.9
360,20,340,0.9,0.035,2.963157894736842,2.8361480724584767,3.0507803328845937,3.053289921827361,0.6282413290702045,53.819577614299554,9,0.1,12.0,400,400,0.9
360,20,340,0.9,0.04,3.3807017543859654,3.256973985207594,3.4690191134884283,5.148754304475578,0.6848444474788185,62.18329880858274,9,0.1,12.0,400,400,0.9
360,20,340,0.9,0.045,3.529824561403509,3.392985435572417,3.641000345449929,6.154047217631385,0.8158559670118557,67.79744865960083,9,0.1,12.0,400,400,0.9
360,20,340,0.9,0.05,4.066666666666666,3.9450385044043714,4.192278194031489,6.127754380694078,0.671199307180204,71.24187710225254,9,0.1,12.0,400,400,0.9
360,20,340,0.9,0.055,4.424561403508772,4.286893942928358,4.562140534577903,5.856263833776963,0.7074684600704212,75.36620501979428,9,0.1,12.0,400,400,0.9
360,20,340,0.9,0.06,4.633333333333334,4.480084495664945,4.8079042394676055,4.82497973026489,0.431117511293144,76.9475301476661,9,0.1,12.0,400,400,0.9
