0.01,0.02,0.03,0.04
,"[3, 55, 29, 31, 38, 32, 34, 30, 25, 30, 31, 33, 31, 41, 21, 29, 35, 34, 33]",,
,"[3, 41, 28, 24, 23, 27, 28, 23, 19, 25, 27, 22, 23, 26, 20, 24, 24, 24, 25]",,
,"[2, 49, 30, 29, 32, 35, 31, 33, 21, 34, 33, 32, 32, 31, 24, 34, 32, 33, 33]",,
,"[6, 54, 24, 29, 32, 33, 29, 29, 29, 31, 31, 31, 32, 28, 26, 31, 31, 35, 27]",,
,"[5, 42, 29, 26, 27, 27, 25, 26, 23, 27, 25, 26, 27, 24, 23, 25, 26, 29, 24]",,
,"[4, 45, 27, 28, 26, 27, 27, 26, 23, 30, 27, 23, 29, 27, 24, 26, 27, 29, 25]",,
,"[3, 38, 19, 22, 22, 23, 22, 22, 19, 22, 22, 22, 20, 22, 20, 24, 19, 23, 22]",,
,"[6, 50, 30, 34, 31, 33, 34, 32, 23, 35, 32, 33, 34, 32, 29, 33, 31, 31, 32]",,
,"[3, 34, 32, 25, 25, 24, 24, 25, 18, 28, 21, 23, 23, 29, 18, 23, 24, 25, 23]",,
,"[2, 58, 33, 35, 32, 38, 33, 33, 29, 38, 33, 35, 35, 34, 24, 35, 34, 34, 37]",,
,"[4, 49, 23, 30, 31, 26, 30, 27, 26, 30, 29, 27, 26, 32, 25, 28, 29, 29, 27]",,
,"[5, 37, 21, 17, 21, 24, 22, 23, 14, 21, 25, 23, 21, 23, 21, 22, 19, 23, 23]",,
,"[3, 56, 29, 29, 32, 34, 33, 31, 30, 31, 35, 33, 32, 33, 23, 30, 32, 36, 31]",,
,"[4, 48, 21, 25, 25, 23, 25, 24, 17, 26, 27, 22, 23, 23, 23, 27, 23, 25, 24]",,
,"[2, 47, 24, 27, 25, 25, 24, 23, 19, 23, 23, 24, 24, 26, 18, 26, 24, 24, 25]",,
,"[3, 54, 26, 41, 40, 41, 37, 39, 24, 42, 40, 39, 36, 38, 29, 39, 36, 41, 44]",,
,"[3, 43, 29, 31, 30, 35, 30, 30, 28, 33, 26, 32, 30, 30, 25, 29, 29, 34, 31]",,
,"[3, 55, 25, 32, 30, 35, 27, 31, 30, 33, 29, 30, 29, 35, 25, 29, 31, 33, 33]",,
,"[5, 61, 41, 37, 43, 44, 41, 40, 33, 44, 44, 38, 40, 40, 28, 39, 39, 43, 39]",,
,"[1, 60, 34, 33, 36, 36, 37, 32, 30, 33, 34, 35, 32, 35, 30, 31, 35, 37, 32]",,
,"[4, 43, 26, 24, 24, 23, 24, 24, 20, 25, 25, 23, 23, 27, 17, 22, 24, 26, 24]",,
,"[6, 50, 24, 28, 30, 28, 28, 29, 21, 31, 30, 26, 28, 28, 24, 24, 26, 29, 28]",,
,,"[9, 49, 24, 29, 32, 30, 29, 29, 26, 28, 31, 28, 29, 33, 25, 28, 29, 34, 28]",
,,"[6, 48, 28, 26, 31, 28, 28, 26, 24, 28, 28, 26, 27, 29, 25, 26, 30, 26, 28]",
,,"[1, 52, 23, 24, 26, 29, 23, 25, 21, 26, 25, 23, 24, 29, 21, 23, 25, 26, 24]",
,,"[5, 59, 36, 36, 40, 42, 38, 37, 33, 39, 35, 38, 37, 39, 34, 36, 39, 36, 39]",
,,"[3, 55, 28, 28, 31, 32, 28, 29, 24, 29, 31, 26, 30, 31, 26, 30, 27, 30, 33]",
,,"[6, 61, 38, 38, 42, 44, 36, 40, 37, 37, 40, 38, 41, 44, 33, 36, 40, 41, 42]",
,,"[4, 49, 24, 23, 27, 28, 25, 23, 22, 26, 25, 25, 25, 25, 24, 24, 25, 25, 26]",
,,"[2, 52, 22, 25, 27, 25, 26, 24, 25, 25, 24, 23, 25, 26, 26, 24, 24, 26, 24]",
,,"[4, 53, 29, 31, 30, 33, 35, 29, 27, 33, 30, 30, 30, 35, 28, 32, 31, 31, 30]",
,,"[6, 56, 29, 33, 36, 34, 34, 33, 31, 32, 34, 35, 31, 35, 32, 33, 35, 37, 34]",
,,"[7, 50, 27, 28, 29, 33, 29, 28, 25, 30, 30, 26, 30, 30, 30, 28, 31, 29, 28]",
,,"[4, 51, 26, 25, 28, 29, 28, 26, 24, 29, 26, 23, 30, 27, 25, 27, 29, 28, 26]",
,,"[6, 57, 38, 39, 40, 44, 41, 39, 39, 38, 42, 38, 39, 42, 37, 37, 40, 43, 39]",
,,"[5, 51, 30, 32, 32, 32, 30, 30, 30, 33, 30, 30, 30, 34, 28, 32, 31, 34, 34]",
,,"[6, 49, 24, 26, 29, 31, 27, 26, 21, 27, 28, 26, 25, 33, 23, 27, 27, 28, 28]",
,,"[4, 46, 35, 30, 32, 34, 31, 31, 30, 32, 31, 31, 30, 35, 23, 34, 33, 31, 32]",
,,"[6, 48, 24, 22, 29, 25, 27, 24, 20, 26, 26, 24, 24, 27, 22, 24, 24, 27, 25]",
,,"[4, 64, 36, 38, 39, 47, 40, 38, 36, 41, 37, 40, 39, 41, 37, 37, 43, 40, 39]",
,,"[8, 56, 33, 33, 38, 36, 39, 35, 31, 37, 35, 34, 36, 38, 31, 33, 35, 41, 36]",
,,"[7, 51, 27, 28, 32, 32, 30, 27, 25, 33, 28, 28, 28, 32, 23, 29, 28, 35, 30]",
,,"[5, 57, 32, 34, 39, 38, 38, 34, 28, 37, 34, 35, 36, 38, 36, 35, 34, 39, 34]",
,,"[5, 55, 28, 30, 33, 37, 32, 28, 29, 33, 30, 30, 32, 33, 31, 29, 32, 32, 32]",
,,"[5, 50, 28, 29, 31, 30, 29, 27, 26, 32, 26, 27, 29, 33, 27, 27, 29, 34, 29]",
,,"[6, 62, 38, 37, 42, 43, 38, 38, 34, 45, 38, 37, 42, 43, 30, 40, 38, 40, 40]",
,,"[5, 49, 22, 23, 25, 29, 25, 23, 22, 23, 28, 24, 24, 27, 24, 24, 24, 28, 24]",
,,"[2, 62, 31, 36, 36, 38, 37, 34, 31, 40, 36, 34, 35, 37, 28, 34, 34, 39, 39]",
,,"[6, 53, 32, 32, 35, 35, 35, 32, 30, 36, 34, 32, 33, 39, 31, 31, 34, 32, 36]",
,,"[6, 55, 32, 32, 39, 33, 32, 31, 30, 37, 32, 32, 33, 36, 29, 31, 35, 35, 32]",
,,"[6, 56, 31, 32, 38, 36, 33, 32, 26, 33, 32, 33, 33, 34, 28, 32, 34, 38, 31]",
,,"[4, 56, 30, 30, 34, 33, 30, 32, 28, 34, 30, 30, 32, 32, 30, 30, 30, 36, 30]",
,,"[3, 59, 32, 35, 39, 35, 36, 33, 34, 35, 36, 33, 34, 39, 30, 36, 35, 38, 36]",
,,"[8, 49, 26, 29, 32, 33, 34, 30, 30, 30, 32, 31, 34, 32, 30, 31, 32, 33, 30]",
,,"[7, 49, 25, 27, 28, 31, 25, 26, 21, 31, 26, 27, 28, 27, 25, 28, 26, 31, 27]",
,,"[6, 47, 25, 23, 27, 26, 26, 24, 20, 27, 24, 24, 25, 26, 24, 24, 28, 24, 26]",
,,"[4, 52, 26, 26, 28, 29, 27, 26, 23, 30, 28, 26, 28, 26, 25, 27, 26, 30, 29]",
,,"[4, 71, 43, 47, 52, 49, 49, 46, 45, 50, 48, 46, 48, 51, 45, 47, 46, 52, 45]",
,,"[5, 57, 31, 34, 37, 37, 38, 34, 32, 35, 35, 34, 36, 38, 34, 35, 35, 37, 37]",
,,"[6, 49, 29, 30, 36, 32, 30, 31, 28, 30, 30, 31, 32, 34, 28, 30, 33, 32, 33]",
,,"[7, 57, 35, 35, 41, 42, 37, 38, 29, 39, 39, 36, 37, 41, 32, 40, 38, 39, 39]",
,,"[9, 57, 36, 36, 38, 45, 39, 35, 34, 36, 38, 35, 37, 41, 37, 37, 38, 37, 37]",
,,"[4, 60, 33, 34, 36, 41, 37, 33, 31, 38, 35, 34, 35, 37, 30, 37, 35, 37, 33]",
,,"[9, 58, 39, 41, 46, 43, 40, 40, 36, 45, 41, 41, 39, 45, 38, 40, 41, 46, 39]",
,,"[7, 59, 33, 35, 38, 39, 38, 36, 34, 38, 39, 36, 36, 43, 33, 39, 36, 39, 38]",
,,"[4, 62, 38, 38, 41, 43, 37, 40, 35, 44, 38, 37, 39, 38, 34, 40, 41, 43, 41]",
,,"[6, 52, 34, 32, 33, 39, 34, 32, 32, 32, 35, 31, 33, 35, 35, 31, 36, 34, 33]",
,,"[5, 59, 36, 36, 38, 46, 33, 37, 35, 36, 40, 36, 38, 41, 35, 37, 36, 41, 38]",
,,"[2, 54, 28, 28, 32, 31, 29, 29, 25, 29, 31, 28, 29, 30, 25, 30, 29, 33, 28]",
,,"[5, 54, 27, 30, 31, 35, 31, 28, 29, 34, 30, 30, 30, 32, 30, 33, 33, 32, 32]",
,,"[6, 49, 30, 28, 30, 32, 28, 28, 27, 30, 30, 29, 29, 31, 30, 26, 28, 32, 28]",
,,"[3, 55, 31, 31, 30, 37, 33, 29, 27, 31, 32, 31, 31, 34, 28, 31, 31, 36, 31]",
,,,"[5, 61, 36, 36, 43, 43, 36, 36, 36, 38, 36, 36, 40, 43, 33, 38, 38, 39, 37]"
,,,"[7, 55, 30, 33, 33, 37, 34, 33, 29, 37, 35, 31, 34, 35, 32, 32, 32, 39, 33]"
,,,"[8, 59, 35, 39, 43, 46, 41, 38, 36, 38, 38, 38, 44, 40, 37, 42, 41, 40, 38]"
,,,"[6, 60, 35, 37, 39, 48, 35, 35, 34, 41, 35, 37, 40, 37, 36, 38, 39, 39, 37]"
,,,"[6, 60, 36, 36, 44, 43, 36, 36, 34, 38, 36, 36, 40, 44, 33, 36, 39, 38, 37]"
,,,"[6, 57, 33, 34, 37, 39, 36, 34, 33, 36, 36, 34, 35, 40, 33, 34, 38, 36, 35]"
,,,"[8, 55, 35, 34, 40, 38, 35, 34, 35, 36, 35, 34, 35, 40, 34, 36, 36, 35, 36]"
,,,"[8, 49, 28, 29, 34, 29, 31, 28, 26, 29, 30, 28, 30, 32, 27, 28, 30, 30, 32]"
,,,"[7, 51, 26, 29, 33, 30, 31, 27, 29, 28, 29, 28, 31, 32, 29, 28, 28, 31, 29]"
,,,"[7, 59, 36, 36, 41, 43, 37, 36, 32, 37, 38, 36, 38, 44, 34, 36, 37, 39, 39]"
,,,"[8, 56, 34, 34, 39, 42, 36, 34, 31, 36, 35, 34, 39, 37, 29, 36, 37, 37, 36]"
,,,"[7, 59, 36, 36, 44, 37, 38, 36, 34, 42, 36, 37, 37, 39, 35, 35, 39, 43, 38]"
,,,"[8, 74, 52, 52, 61, 60, 58, 52, 51, 52, 52, 52, 61, 63, 51, 54, 52, 54, 54]"
,,,"[7, 65, 40, 42, 45, 54, 44, 42, 37, 45, 45, 42, 45, 47, 41, 41, 49, 46, 44]"
,,,"[7, 61, 38, 38, 50, 40, 39, 39, 29, 42, 39, 39, 40, 42, 38, 38, 41, 43, 39]"
,,,"[10, 69, 50, 50, 58, 58, 54, 51, 41, 55, 51, 51, 55, 56, 48, 50, 51, 58, 55]"
,,,"[7, 59, 39, 38, 46, 42, 39, 37, 39, 41, 37, 39, 40, 45, 39, 38, 41, 40, 41]"
