beta,mean,std,n_iter,handwash,data_type,init_env,tau0
0.025,"[0.3, 0.58, 0.72, 0.84, 0.08, 0.12, 0.2, 0.32, 0.26, 0.4, 0.0, 0.0, 0.12, 0.14, 0.16, 0.2, 0.04, 0.1, 0.04, 0.14, 0.16, 0.22, 0.08, 0.08, 0.16, 0.1, 0.22, 0.16, 0.1, 0.12, 0.1, 0.18, 0.14, 0.22, 0.08, 0.1]","[0.5050762722761053, 0.6091144458665098, 0.8091315576289311, 0.9553287712743134, 0.3404678653660855, 0.38544964466377285, 0.5345224838248482, 0.8191583535332259, 0.5996597674804387, 0.7284313590846836, 0.0, 0.0, 0.3854496446637727, 0.4045657788144656, 0.42185208743523994, 0.5714285714285712, 0.28284271247461873, 0.3030457633656632, 0.1979486637221575, 0.4045657788144654, 0.42185208743523994, 0.4646701704940171, 0.27404751561786983, 0.34046786536608525, 0.42185208743523983, 0.3642156795423417, 0.5816935163286386, 0.5841442371503109, 0.303045763365663, 0.38544964466377274, 0.4164965639175214, 0.3880879344916036, 0.35050983275386544, 0.5066899385990915, 0.3404678653660853, 0.4164965639175213]",50,0.9,B,2,60
0.03,"[0.6, 1.0, 1.08, 1.34, 0.3, 0.2, 0.28, 0.68, 0.58, 0.86, 0.1, 0.14, 0.14, 0.36, 0.38, 0.4, 0.26, 0.24, 0.22, 0.42, 0.56, 0.66, 0.16, 0.28, 0.34, 0.52, 0.52, 0.78, 0.2, 0.26, 0.34, 0.46, 0.48, 0.66, 0.12, 0.3]","[0.7824607964359516, 0.9258200997725514, 0.9864386572361183, 1.1536985776897126, 0.580288457473997, 0.4517539514526255, 0.6074369035848369, 1.0388376550113054, 1.0707616972253433, 1.2123514005301215, 0.3642156795423416, 0.4045657788144654, 0.35050983275386566, 0.6928203230275508, 0.530306034093445, 0.8329931278350429, 0.5996597674804388, 0.555492059863531, 0.5066899385990916, 0.7848046682754498, 0.9930369826847297, 1.022402133433308, 0.42185208743524, 0.729551161988783, 0.6883876458946722, 0.8628382211738, 1.1109841197270625, 1.5686989279433494, 0.45175395145262565, 0.6642473107178666, 0.7982122882685143, 0.9521190115972354, 0.9310954706743044, 1.0806271799472829, 0.328260722659316, 0.5802884574739972]",50,0.9,B,2,60
0.035,"[0.68, 1.28, 1.92, 2.42, 0.34, 0.24, 0.44, 0.8, 1.74, 2.0, 0.3, 0.46, 0.54, 0.74, 0.72, 0.96, 0.48, 0.4, 0.56, 0.78, 1.36, 1.74, 0.32, 0.52, 0.88, 0.96, 1.38, 1.56, 0.22, 0.38, 0.58, 0.62, 1.26, 1.3, 0.42, 0.54]","[0.8675557971822273, 1.2460549992775156, 1.3528503544859105, 1.6173800936536031, 0.5928141120356123, 0.5910903104450633, 0.7866228513106404, 1.0101525445522108, 2.1074212891104427, 2.2587697572631282, 0.7889543583705185, 1.1642638034748105, 1.1466010106183497, 1.49570814570987, 1.3407277950457221, 1.7018597270669058, 0.8388524717658972, 0.9258200997725506, 0.8609439527611066, 1.0933938924658548, 1.903380451422454, 2.2113805827203636, 0.5869325309764037, 0.8628382211738004, 1.3192453006417366, 1.1421426337889533, 1.8504274189097665, 2.296048068898794, 0.5454823740581942, 0.8302937763840222, 1.2136973364433963, 1.0476406924170916, 1.935806534438685, 1.5419309389230644, 0.6091144458665096, 0.7879189847507241]",50,0.9,B,2,60
0.04,"[0.96, 1.74, 2.68, 3.36, 0.4, 0.7, 0.86, 1.24, 1.44, 2.24, 0.16, 0.32, 0.48, 0.54, 0.84, 1.1, 0.38, 0.62, 0.74, 1.1, 1.24, 1.98, 0.44, 0.76, 1.06, 1.32, 1.68, 1.88, 0.44, 0.62, 1.16, 1.46, 1.76, 2.22, 0.66, 1.14]","[0.8561899465012401, 1.3372222198670358, 1.5576015051930303, 2.0972284918288664, 0.6388765649999399, 0.9529760045804523, 1.309463202060684, 1.378552923635979, 1.7042563762293417, 1.9955051531696253, 0.4218520874352399, 0.7125693664765669, 0.8628382211737999, 1.0143863129186708, 1.4757910365879956, 1.6933242273042428, 0.6667006794044589, 1.1045361017187258, 1.482000853782563, 1.7291026338443147, 1.6970562748477138, 2.502977818356302, 0.8609439527611068, 0.9806287029560292, 1.2521002763520246, 1.6091574674661404, 2.044804266866615, 2.446488528983731, 0.8121525944886797, 1.0079277589921505, 1.682563641638338, 1.8429125130109254, 2.13388598283861, 2.4519047156636984, 1.0615737258948172, 1.6783130500230135]",50,0.9,B,2,60
0.045,"[1.26, 2.22, 3.52, 5.22, 0.58, 0.86, 1.48, 2.36, 3.02, 4.12, 0.68, 1.14, 1.58, 2.46, 3.18, 3.56, 0.96, 1.04, 1.54, 2.22, 3.36, 4.4, 1.32, 1.94, 2.98, 3.56, 4.68, 5.64, 1.46, 2.06, 2.62, 3.8, 4.68, 5.92, 1.5, 2.84]","[0.9858177999477782, 1.5424602664151152, 2.296759029767016, 2.9780832076751547, 0.9707981147446856, 1.2290696664135679, 1.6318263212907007, 2.362634295934632, 3.158984595320052, 3.7505917900392998, 1.0388376550113059, 1.6163703354196057, 1.7623036871419988, 2.459550315627237, 3.2682142662004146, 3.4650440996104064, 1.4279998856685479, 1.677704943531794, 1.971325049041784, 2.5013465761220606, 3.4271425593997367, 3.979539507766892, 1.5042796092672215, 2.0344983837470574, 2.83915767905388, 3.189011746351422, 4.196402735482778, 4.383456841073152, 1.7866854502007854, 2.4777376119091765, 2.968473805627039, 3.901857223927904, 4.244756669548146, 4.939800871802548, 1.7408653724219916, 2.8951754379184917]",50,0.9,B,2,60
0.05,"[1.58, 3.06, 4.9, 6.02, 0.9, 1.48, 2.54, 3.54, 5.22, 6.98, 1.14, 2.34, 3.54, 5.0, 6.06, 7.0, 1.72, 2.76, 4.2, 5.24, 6.86, 8.28, 1.38, 2.52, 3.4, 5.18, 6.4, 8.2, 1.9, 3.26, 4.58, 5.62, 7.12, 8.56, 1.84, 3.2]","[1.051529498261597, 1.6339510146780247, 2.358224859888454, 2.653376747328827, 1.32864823126702, 1.7755711929473539, 2.643513432026802, 2.8299419479154384, 4.376607576371341, 5.1921840789983635, 1.4709430544340438, 2.6696327042329626, 3.620857943208758, 5.18238775634773, 5.7796617371536865, 6.340668863192042, 2.0004081216244916, 2.99359861254999, 4.2378277069118075, 5.028733763613472, 5.518096388710698, 6.269589707631657, 1.5634864233239656, 2.7348096228932253, 3.398679215248663, 4.187883397008418, 5.851914042361155, 6.236822843698021, 2.1019912813660238, 3.2249663817263747, 4.281378759422326, 4.5664705256055775, 5.88543688666685, 5.573845629548849, 2.333080647153555, 3.464101615137755]",50,0.9,B,2,60
0.055,"[2.14, 3.9, 5.64, 8.44, 1.72, 1.9, 3.96, 5.54, 8.04, 10.22, 2.5, 3.62, 5.08, 7.78, 9.58, 11.74, 2.54, 4.24, 5.8, 7.64, 9.02, 10.76, 2.88, 5.14, 6.86, 9.88, 12.04, 14.24, 3.68, 5.92, 7.54, 9.7, 11.96, 13.32, 3.38, 6.48]","[1.5387511501346844, 1.5419309389230647, 2.967579925165437, 4.036365307793533, 1.6541845515577291, 1.865366408171514, 4.0504975758843385, 4.380895444764595, 5.903855537196149, 6.286655773646791, 2.659215781283755, 3.8803008509492605, 4.425528908780168, 6.058524101273697, 7.409563593968354, 8.319659529925342, 2.5571827610613576, 4.063576388013948, 5.002040400003314, 6.19664161840418, 6.519953674556849, 7.405348315472365, 2.9391099582932885, 4.476742620454734, 5.409779504352677, 6.595112599803102, 7.320533046276934, 7.7947130171936525, 3.4252364732904472, 4.575177034603052, 6.081789478871011, 6.593905658768156, 7.348358139539661, 7.691606875453959, 2.4318465311405673, 4.585870046308841]",50,0.9,B,2,60
0.06,"[2.06, 5.5, 7.84, 10.96, 2.58, 4.48, 7.54, 9.9, 12.9, 15.06, 3.78, 6.28, 8.62, 12.06, 14.38, 17.16, 4.46, 9.2, 12.04, 14.92, 18.5, 20.78, 5.14, 9.84, 12.46, 15.68, 19.26, 21.56, 4.6, 7.58, 11.46, 13.84, 16.66, 19.18, 5.2, 9.26]","[1.4764823060233399, 3.058944729337694, 3.518812415620722, 5.15458979147394, 2.4585544118278877, 4.126766783043675, 6.041387865957522, 6.899423223453286, 7.432004701125466, 6.54781471569106, 3.215333162665851, 4.7981288870065315, 5.543483027991756, 7.549591149897605, 7.82432105680742, 7.6247716593444865, 3.3209907545545403, 5.962467644202631, 7.168411431340949, 7.642096090279239, 9.333394071716848, 9.278656658576988, 3.2639652859298454, 6.469268008934904, 6.673768326325793, 7.776049046624527, 8.77103302970427, 8.8736252168883, 2.9554515522253144, 4.861720531932315, 7.060120829167798, 7.011244612792236, 8.324073767190718, 8.1658572415758, 3.827931716278361, 5.409024960231572]",50,0.9,B,2,60
0.02,"[0.2, 0.18, 0.46, 0.34, 0.1, 0.1, 0.14, 0.04, 0.02, 0.14, 0.02, 0.04, 0.0, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.04, 0.02, 0.0, 0.0, 0.02, 0.04, 0.04, 0.0, 0.04, 0.06, 0.0, 0.0, 0.02, 0.02, 0.06, 0.0, 0.06]","[0.45175395145262537, 0.43752550946038743, 0.6764251772429551, 0.5573259772323189, 0.36421567954234163, 0.3030457633656631, 0.4045657788144655, 0.19794866372215753, 0.14142135623730945, 0.40456577881446526, 0.14142135623730945, 0.19794866372215744, 0.0, 0.14142135623730945, 0.14142135623730942, 0.14142135623730942, 0.14142135623730934, 0.14142135623730934, 0.14142135623730945, 0.19794866372215747, 0.14142135623730942, 0.0, 0.0, 0.14142135623730936, 0.1979486637221575, 0.1979486637221575, 0.0, 0.19794866372215753, 0.23989793748209529, 0.0, 0.0, 0.14142135623730942, 0.14142135623730945, 0.23989793748209529, 0.0, 0.3136356914300021]",50,0.95,B,2,60
0.025,"[0.2, 0.3, 0.56, 0.46, 0.12, 0.06, 0.08, 0.12, 0.18, 0.06, 0.04, 0.12, 0.08, 0.06, 0.06, 0.14, 0.06, 0.04, 0.06, 0.16, 0.16, 0.18, 0.08, 0.04, 0.02, 0.0, 0.12, 0.12, 0.02, 0.02, 0.0, 0.08, 0.1, 0.1, 0.06, 0.12]","[0.4517539514526256, 0.5050762722761053, 0.7602362683228614, 0.6455499158682864, 0.328260722659316, 0.23989793748209529, 0.3404678653660853, 0.3854496446637727, 0.43752550946038743, 0.2398979374820953, 0.1979486637221575, 0.3854496446637727, 0.3404678653660855, 0.23989793748209526, 0.2398979374820953, 0.4045657788144655, 0.2398979374820953, 0.1979486637221575, 0.23989793748209529, 0.42185208743523994, 0.5095015571464866, 0.5602477586036456, 0.27404751561786966, 0.1979486637221575, 0.14142135623730942, 0.0, 0.3854496446637728, 0.3854496446637728, 0.14142135623730936, 0.14142135623730936, 0.0, 0.2740475156178697, 0.303045763365663, 0.30304576336566297, 0.23989793748209529, 0.3854496446637727]",50,0.95,B,2,60
