beta,month,obs_monthly,obs_cumulative,abm_mean_monthly,abm_sd_monthly,abm_mean_cumulative,abm_sd_cumulative,sigma_used,residual_cumulative
0.037,13,2.0,25.0,0.88,1.92343230625221,21.68,15.151533902276586,15.151533902276586,3.3200000000000003
0.037,14,1.0,26.0,0.34,0.8233827686279751,22.02,15.778427536044397,15.778427536044397,3.9800000000000004
0.037,15,1.0,27.0,0.22,0.6788345354580987,22.24,16.077059331068412,16.077059331068412,4.760000000000002
0.037,16,2.0,29.0,0.14,0.4952838806674207,22.38,16.355601923674783,16.355601923674783,6.620000000000001
0.037,17,5.0,34.0,0.3,0.8390957231764817,22.68,16.69710961177877,16.69710961177877,11.32
0.037,18,2.0,36.0,0.32,0.8191583535332257,23.0,17.154757774032085,17.154757774032085,13.0
0.037,19,2.0,38.0,0.34,0.9391702807939203,23.34,17.77708913065307,17.77708913065307,14.66
0.0375,1,5.0,5.0,6.62,2.3980434201444223,6.62,2.3980434201444223,2.3980434201444223,-1.62
0.0375,2,2.0,7.0,3.6,1.7379321515137773,10.22,2.779590338337575,2.779590338337575,-3.2200000000000006
0.0375,3,0.0,7.0,1.5,1.9820624179302297,11.72,3.8441049487680288,3.8441049487680288,-4.720000000000001
0.0375,4,2.0,9.0,1.7,1.9298937265866132,13.42,5.107377616982024,5.107377616982024,-4.42
0.0375,5,1.0,10.0,2.2,2.449489742783178,15.62,6.766936424367276,6.766936424367276,-5.619999999999999
0.0375,6,1.0,11.0,2.54,2.5810138808346665,18.16,8.88557648032783,8.88557648032783,-7.16
0.0375,7,2.0,13.0,2.94,3.006184102336858,21.1,11.021778070562604,11.021778070562604,-8.100000000000001
0.0375,8,2.0,15.0,1.34,1.623928217977278,22.44,12.12209990564543,12.12209990564543,-7.440000000000001
0.0375,9,6.0,21.0,0.46,0.9733174912511897,22.9,12.565339434414053,12.565339434414053,-1.8999999999999986
0.0375,10,1.0,22.0,0.8,1.4846149779161808,23.7,13.16806588621402,13.16806588621402,-1.6999999999999993
0.0375,11,1.0,23.0,0.84,1.3606721028332183,24.54,13.80654976185327,13.80654976185327,-1.5399999999999991
0.0375,12,0.0,23.0,1.06,2.014336372210005,25.6,14.641289114650238,14.641289114650238,-2.6000000000000014
0.0375,13,2.0,25.0,1.58,2.7036634254964773,27.18,16.248943450738757,16.248943450738757,-2.1799999999999997
0.0375,14,1.0,26.0,0.56,1.2642655365621478,27.74,16.887152464739188,16.887152464739188,-1.7399999999999984
0.0375,15,1.0,27.0,0.22,1.0358866851590458,27.96,17.34753996557272,17.34753996557272,-0.9600000000000009
0.0375,16,2.0,29.0,0.1,0.3642156795423417,28.06,17.527133483923297,17.527133483923297,0.9400000000000013
0.0375,17,5.0,34.0,0.22,0.8154127538760196,28.28,17.840609488993795,17.840609488993795,5.719999999999999
0.0375,18,2.0,36.0,0.16,0.5841442371503106,28.44,18.154844184044624,18.154844184044624,7.559999999999999
0.0375,19,2.0,38.0,0.2,0.7284313590846833,28.64,18.58983703038643,18.58983703038643,9.36
0.03775,1,5.0,5.0,7.66,2.3352664489850192,7.66,2.3352664489850192,2.3352664489850192,-2.66
0.03775,2,2.0,7.0,2.9,1.8653664081715138,10.56,3.3083691031154583,3.3083691031154583,-3.5600000000000005
0.03775,3,0.0,7.0,1.36,1.8489931071272507,11.92,4.09000773413769,4.09000773413769,-4.92
0.03775,4,2.0,9.0,1.42,1.8961830618591742,13.34,5.355180593002768,5.355180593002768,-4.34
0.03775,5,1.0,10.0,1.74,1.9146055169967222,15.08,6.766785629462636,6.766785629462636,-5.08
0.03775,6,1.0,11.0,2.1,2.340852801167706,17.18,7.95571928789315,7.95571928789315,-6.18
0.03775,7,2.0,13.0,2.66,3.0345628068259565,19.84,10.08607850414802,10.08607850414802,-6.84
0.03775,8,2.0,15.0,1.18,1.5608736433844488,21.02,11.1455857465031,11.1455857465031,-6.02
0.03775,9,6.0,21.0,0.68,1.3315634511692627,21.7,11.891087384409952,11.891087384409952,-0.6999999999999993
0.03775,10,1.0,22.0,0.7,1.2494896917525642,22.4,12.404739054909948,12.404739054909948,-0.3999999999999986
0.03775,11,1.0,23.0,0.92,1.6517152494622445,23.32,13.250244510643444,13.250244510643444,-0.3200000000000003
0.03775,12,0.0,23.0,0.98,1.6841397004441891,24.3,14.283214066925998,14.283214066925998,-1.3000000000000007
0.03775,13,2.0,25.0,1.26,2.2388955002912687,25.56,15.805139954444941,15.805139954444941,-0.5599999999999987
0.03775,14,1.0,26.0,0.56,1.109513590797006,26.12,16.378981055247706,16.378981055247706,-0.120000000000001
0.03775,15,1.0,27.0,0.26,0.9858177999477783,26.38,16.832779003467962,16.832779003467962,0.620000000000001
0.03775,16,2.0,29.0,0.2,0.5714285714285711,26.58,17.17507686463506,17.17507686463506,2.4200000000000017
0.03775,17,5.0,34.0,0.26,0.7507819053411952,26.84,17.559647618611137,17.559647618611137,7.16
0.03775,18,2.0,36.0,0.46,1.181662612852012,27.3,18.31498772891219,18.31498772891219,8.7
0.03775,19,2.0,38.0,0.42,1.4581229197086205,27.72,19.2152575431343,19.2152575431343,10.280000000000001
0.03787,1,5.0,5.0,6.8,2.1189138534559038,6.8,2.1189138534559038,2.1189138534559038,-1.7999999999999998
0.03787,2,2.0,7.0,3.1,1.8322507626258087,9.9,2.808514750191071,2.808514750191071,-2.9000000000000004
0.03787,3,0.0,7.0,1.16,1.3303367687797503,11.06,3.346701086632224,3.346701086632224,-4.0600000000000005
0.03787,4,2.0,9.0,1.66,1.9857656725108446,12.72,4.314380320627797,4.314380320627797,-3.7200000000000006
0.03787,5,1.0,10.0,2.4,2.4243661069253055,15.12,5.87502496738073,5.87502496738073,-5.119999999999999
0.03787,6,1.0,11.0,2.38,2.4568936750727017,17.5,7.749259345780296,7.749259345780296,-6.5
0.03787,7,2.0,13.0,2.76,3.2360217450897744,20.26,10.446774719539821,10.446774719539821,-7.260000000000002
0.03787,8,2.0,15.0,1.44,1.7746514460879468,21.7,11.954420239614555,11.954420239614555,-6.699999999999999
0.03787,9,6.0,21.0,0.48,0.9946797248873841,22.18,12.590391542111528,12.590391542111528,-1.1799999999999997
0.03787,10,1.0,22.0,0.76,1.4365491531401757,22.94,13.659727788843602,13.659727788843602,-0.9400000000000013
0.03787,11,1.0,23.0,0.84,1.7769499206247106,23.78,14.990187266532537,14.990187266532537,-0.7800000000000011
0.03787,12,0.0,23.0,1.32,2.298535469842145,25.1,16.699321750860886,16.699321750860886,-2.1000000000000014
0.03787,13,2.0,25.0,1.4,2.777460299317653,26.5,18.92007895742251,18.92007895742251,-1.5
0.03787,14,1.0,26.0,0.72,1.2942573317607,27.22,19.86412004862341,19.86412004862341,-1.2199999999999989
0.03787,15,1.0,27.0,0.26,0.8283250865328127,27.48,20.2547449719208,20.2547449719208,-0.4800000000000004
0.03787,16,2.0,29.0,0.24,0.6565214453186321,27.72,20.602199208941215,20.602199208941215,1.2800000000000011
0.03787,17,5.0,34.0,0.5,1.164964745021435,28.22,21.32000114867708,21.32000114867708,5.780000000000001
0.03787,18,2.0,36.0,0.58,1.654801301346713,28.8,22.414463260700806,22.414463260700806,7.199999999999999
0.03787,19,2.0,38.0,0.7,1.729102633844315,29.5,23.544356748356442,23.544356748356442,8.5
0.03794,1,5.0,5.0,7.04,2.3643612417802515,7.04,2.3643612417802515,2.3643612417802515,-2.04
0.03794,2,2.0,7.0,3.12,2.036804219499613,10.16,3.1838880095164868,3.1838880095164868,-3.16
0.03794,3,0.0,7.0,1.66,1.6239282179772776,11.82,3.783368545492286,3.783368545492286,-4.82
