beta,iteration,monthly_incidence_m1,monthly_cumulative_m1,monthly_incidence_m2,monthly_cumulative_m2,monthly_incidence_m3,monthly_cumulative_m3,monthly_incidence_m4,monthly_cumulative_m4,monthly_incidence_m5,monthly_cumulative_m5,monthly_incidence_m6,monthly_cumulative_m6,monthly_incidence_m7,monthly_cumulative_m7,monthly_incidence_m8,monthly_cumulative_m8,monthly_incidence_m9,monthly_cumulative_m9,monthly_incidence_m10,monthly_cumulative_m10,monthly_incidence_m11,monthly_cumulative_m11,monthly_incidence_m12,monthly_cumulative_m12,monthly_incidence_m13,monthly_cumulative_m13,monthly_incidence_m14,monthly_cumulative_m14,monthly_incidence_m15,monthly_cumulative_m15,monthly_incidence_m16,monthly_cumulative_m16,monthly_incidence_m17,monthly_cumulative_m17,monthly_incidence_m18,monthly_cumulative_m18,monthly_incidence_m19,monthly_cumulative_m19
0.036,34,5.0,5.0,1.0,6.0,1.0,7.0,0.0,7.0,1.0,8.0,2.0,10.0,2.0,12.0,1.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0
0.036,35,6.0,6.0,3.0,9.0,2.0,11.0,2.0,13.0,7.0,20.0,4.0,24.0,6.0,30.0,1.0,31.0,0.0,31.0,0.0,31.0,0.0,31.0,0.0,31.0,0.0,31.0,0.0,31.0,0.0,31.0,0.0,31.0,0.0,31.0,0.0,31.0,0.0,31.0
0.036,36,9.0,9.0,3.0,12.0,1.0,13.0,1.0,14.0,1.0,15.0,1.0,16.0,1.0,17.0,1.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0
0.036,37,6.0,6.0,1.0,7.0,0.0,7.0,2.0,9.0,0.0,9.0,1.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0
0.036,38,7.0,7.0,2.0,9.0,3.0,12.0,1.0,13.0,0.0,13.0,6.0,19.0,3.0,22.0,1.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0
0.036,39,3.0,3.0,1.0,4.0,2.0,6.0,2.0,8.0,2.0,10.0,5.0,15.0,3.0,18.0,1.0,19.0,0.0,19.0,0.0,19.0,0.0,19.0,0.0,19.0,0.0,19.0,0.0,19.0,0.0,19.0,0.0,19.0,0.0,19.0,0.0,19.0,0.0,19.0
0.036,40,10.0,10.0,4.0,14.0,1.0,15.0,4.0,19.0,4.0,23.0,3.0,26.0,2.0,28.0,1.0,29.0,0.0,29.0,0.0,29.0,0.0,29.0,0.0,29.0,0.0,29.0,0.0,29.0,0.0,29.0,0.0,29.0,0.0,29.0,0.0,29.0,0.0,29.0
0.036,41,9.0,9.0,3.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0
0.036,42,5.0,5.0,2.0,7.0,3.0,10.0,5.0,15.0,5.0,20.0,3.0,23.0,5.0,28.0,4.0,32.0,3.0,35.0,1.0,36.0,2.0,38.0,3.0,41.0,3.0,44.0,0.0,44.0,0.0,44.0,0.0,44.0,0.0,44.0,0.0,44.0,0.0,44.0
0.036,43,5.0,5.0,4.0,9.0,6.0,15.0,7.0,22.0,6.0,28.0,10.0,38.0,14.0,52.0,9.0,61.0,0.0,61.0,0.0,61.0,0.0,61.0,0.0,61.0,0.0,61.0,0.0,61.0,0.0,61.0,0.0,61.0,0.0,61.0,0.0,61.0,0.0,61.0
