0.01,0.03,0.05,0.07,0.09
,,"[4, 68, 42, 42, 48, 51, 44, 42, 42, 43, 41, 43, 42, 52, 43, 43, 44, 48, 41]",,
,,"[5, 59, 34, 34, 38, 39, 33, 34, 35, 37, 34, 35, 36, 36, 35, 34, 35, 39, 37]",,
,,"[3, 61, 34, 34, 40, 40, 35, 34, 35, 35, 34, 34, 38, 40, 35, 34, 36, 36, 34]",,
,,"[3, 45, 21, 20, 22, 25, 20, 20, 21, 20, 17, 20, 22, 23, 21, 20, 20, 22, 20]",,
,,"[6, 52, 31, 30, 38, 31, 32, 30, 30, 30, 29, 31, 32, 35, 30, 30, 31, 34, 31]",,
,,"[2, 44, 16, 16, 17, 17, 18, 16, 16, 17, 17, 16, 18, 17, 17, 16, 18, 16, 16]",,
,,"[4, 51, 26, 26, 29, 32, 27, 25, 26, 28, 26, 26, 26, 30, 27, 26, 24, 32, 29]",,
,,"[2, 50, 22, 22, 26, 26, 23, 22, 22, 23, 21, 22, 24, 25, 23, 23, 21, 25, 23]",,
,,"[3, 46, 20, 20, 20, 25, 22, 20, 20, 21, 20, 20, 20, 22, 21, 21, 22, 23, 20]",,
,,"[5, 71, 46, 46, 56, 54, 47, 46, 46, 48, 43, 49, 51, 51, 46, 46, 50, 51, 49]",,
,,"[5, 79, 54, 54, 64, 66, 54, 54, 55, 55, 44, 61, 65, 57, 55, 54, 57, 61, 55]",,
,,"[5, 47, 22, 22, 25, 26, 23, 22, 23, 22, 21, 23, 22, 26, 22, 23, 26, 23, 22]",,
,,"[3, 47, 20, 20, 25, 22, 20, 20, 21, 20, 20, 20, 21, 25, 20, 20, 21, 22, 20]",,
,,"[2, 61, 34, 34, 39, 39, 38, 34, 34, 35, 32, 36, 36, 40, 35, 36, 34, 37, 36]",,
,,"[4, 80, 57, 56, 63, 70, 60, 56, 56, 56, 52, 56, 61, 69, 58, 54, 61, 59, 56]",,
,,"[4, 62, 36, 36, 41, 43, 38, 36, 37, 37, 33, 39, 37, 46, 36, 36, 37, 38, 39]",,
,,"[1, 65, 36, 36, 46, 40, 37, 35, 38, 36, 36, 36, 39, 44, 36, 36, 35, 42, 37]",,
,,"[5, 57, 32, 32, 39, 38, 32, 32, 33, 32, 30, 33, 36, 37, 33, 32, 33, 34, 33]",,
,,"[5, 59, 34, 34, 44, 37, 35, 34, 35, 34, 33, 34, 35, 42, 36, 35, 37, 35, 34]",,
,,"[6, 60, 36, 36, 44, 44, 36, 36, 36, 36, 33, 39, 40, 42, 37, 36, 36, 42, 36]",,
,,"[6, 72, 48, 48, 58, 56, 51, 49, 48, 48, 37, 52, 52, 58, 47, 50, 49, 54, 49]",,
,,"[3, 47, 23, 22, 24, 26, 22, 22, 24, 23, 22, 22, 24, 24, 22, 23, 23, 26, 22]",,
,,"[3, 47, 22, 22, 27, 25, 22, 22, 23, 22, 22, 22, 22, 25, 24, 22, 25, 23, 23]",,
,,"[2, 53, 28, 28, 30, 34, 30, 28, 29, 29, 26, 29, 30, 32, 28, 29, 30, 29, 30]",,
,,"[3, 58, 32, 32, 36, 39, 34, 32, 34, 32, 30, 33, 32, 40, 32, 32, 36, 34, 33]",,
,,"[4, 46, 23, 22, 27, 25, 22, 22, 22, 22, 22, 22, 25, 27, 20, 24, 21, 25, 21]",,
,,"[5, 63, 38, 38, 47, 44, 40, 38, 38, 39, 38, 38, 40, 47, 39, 38, 39, 39, 41]",,
,,"[3, 53, 26, 26, 31, 30, 25, 27, 27, 26, 26, 26, 27, 29, 28, 26, 29, 26, 27]",,
,,"[3, 47, 23, 22, 26, 24, 23, 22, 23, 21, 23, 23, 22, 26, 23, 22, 23, 26, 22]",,
