0.06,0.075,0.08,0.09
,,"[9, 69, 48, 48, 62, 55, 49, 48, 48, 48, 48, 48, 53, 61, 49, 48, 51, 49, 48]",
,,"[9, 51, 30, 30, 39, 32, 32, 30, 32, 30, 30, 30, 34, 34, 31, 30, 34, 31, 30]",
,,"[6, 82, 58, 58, 77, 64, 59, 58, 58, 58, 59, 58, 69, 70, 59, 59, 61, 58, 58]",
,,"[8, 80, 58, 58, 76, 66, 59, 58, 58, 58, 58, 58, 72, 67, 59, 58, 62, 58, 58]",
,,"[8, 72, 49, 50, 64, 56, 53, 50, 50, 50, 50, 50, 62, 61, 49, 50, 52, 50, 50]",
,,"[10, 64, 44, 44, 58, 50, 44, 44, 44, 44, 44, 44, 55, 51, 45, 44, 46, 44, 44]",
,,"[9, 77, 56, 56, 72, 66, 56, 56, 58, 56, 56, 56, 64, 67, 58, 57, 58, 59, 56]",
,,"[10, 68, 48, 48, 61, 55, 50, 48, 46, 50, 48, 48, 59, 55, 49, 48, 51, 49, 48]",
,,"[8, 82, 60, 60, 78, 69, 61, 60, 57, 63, 60, 60, 76, 69, 59, 61, 61, 62, 61]",
,,"[11, 77, 58, 58, 75, 66, 59, 58, 58, 59, 58, 58, 71, 71, 57, 59, 59, 58, 59]",
,,"[10, 60, 40, 40, 50, 48, 40, 40, 40, 40, 40, 40, 46, 52, 40, 40, 42, 39, 41]",
,,"[10, 72, 52, 52, 67, 59, 53, 53, 53, 52, 52, 52, 53, 73, 51, 52, 55, 53, 52]",
,,"[10, 62, 42, 42, 55, 47, 42, 42, 43, 42, 42, 42, 53, 48, 41, 42, 44, 44, 42]",
,,"[10, 78, 58, 58, 73, 66, 61, 58, 59, 58, 58, 58, 71, 69, 60, 58, 59, 59, 58]",
,,"[10, 68, 48, 48, 63, 53, 50, 48, 49, 48, 48, 48, 52, 63, 48, 48, 50, 49, 49]",
,,"[11, 71, 52, 52, 63, 63, 53, 52, 52, 53, 52, 52, 61, 64, 51, 55, 52, 54, 52]",
,,"[5, 61, 36, 36, 47, 40, 37, 36, 36, 37, 36, 36, 41, 44, 36, 36, 39, 37, 36]",
,,"[7, 72, 50, 50, 63, 57, 52, 50, 50, 51, 50, 50, 55, 62, 53, 52, 52, 50, 50]",
,,"[7, 62, 42, 42, 53, 48, 44, 41, 41, 44, 41, 43, 50, 49, 42, 42, 44, 44, 43]",
,,"[12, 78, 60, 60, 72, 74, 61, 61, 61, 60, 60, 60, 68, 77, 59, 61, 62, 62, 60]",
,,"[8, 82, 60, 60, 80, 65, 62, 60, 60, 60, 61, 60, 71, 72, 63, 60, 62, 60, 61]",
,,"[9, 71, 50, 50, 67, 53, 52, 50, 51, 50, 50, 50, 56, 64, 51, 50, 52, 51, 50]",
,,"[8, 63, 42, 42, 50, 52, 42, 42, 40, 45, 42, 42, 46, 50, 45, 42, 45, 44, 42]",
,,"[9, 62, 42, 42, 52, 51, 42, 41, 43, 42, 42, 42, 50, 50, 43, 43, 44, 43, 42]",
,,"[6, 80, 56, 56, 76, 62, 56, 56, 56, 56, 56, 56, 73, 63, 58, 57, 57, 56, 56]",
,,"[9, 77, 56, 56, 75, 62, 57, 56, 58, 56, 56, 56, 65, 69, 53, 58, 62, 56, 56]",
,,"[10, 76, 56, 56, 68, 68, 58, 56, 57, 56, 56, 56, 64, 70, 57, 56, 58, 58, 56]",
,,"[9, 77, 56, 56, 70, 66, 56, 56, 56, 58, 56, 56, 59, 76, 57, 56, 58, 57, 56]",
,,"[10, 78, 58, 58, 77, 66, 58, 58, 59, 58, 58, 58, 72, 65, 62, 58, 61, 59, 58]",
,,"[9, 75, 54, 54, 67, 64, 54, 54, 53, 56, 53, 56, 64, 62, 57, 54, 57, 53, 57]",
,,"[7, 73, 50, 50, 67, 56, 50, 50, 51, 50, 50, 50, 62, 58, 51, 50, 54, 50, 50]",
,,"[6, 72, 48, 48, 63, 54, 48, 48, 49, 48, 48, 48, 53, 64, 48, 48, 50, 48, 48]",
,,"[12, 68, 50, 50, 67, 53, 52, 50, 52, 50, 50, 50, 59, 58, 53, 50, 53, 51, 50]",
,,"[8, 69, 49, 48, 66, 51, 48, 48, 49, 48, 48, 48, 60, 56, 49, 48, 51, 48, 48]",
,,"[9, 67, 46, 46, 58, 55, 46, 46, 48, 46, 46, 46, 53, 54, 48, 46, 50, 47, 46]",
,,"[10, 74, 54, 54, 69, 63, 55, 54, 54, 54, 54, 54, 66, 64, 56, 55, 55, 54, 54]",
,,"[8, 60, 38, 38, 47, 46, 38, 38, 37, 39, 38, 38, 43, 48, 38, 38, 40, 38, 39]",
,,"[9, 67, 46, 46, 58, 53, 47, 46, 46, 47, 46, 46, 53, 57, 47, 46, 48, 47, 46]",
,,"[11, 79, 60, 60, 77, 70, 61, 60, 62, 60, 60, 60, 68, 74, 62, 60, 64, 61, 60]",
,,,"[8, 78, 56, 56, 73, 63, 57, 56, 57, 56, 56, 56, 70, 66, 54, 56, 58, 59, 56]"
,,,"[9, 75, 54, 54, 65, 66, 55, 54, 54, 55, 54, 54, 61, 70, 54, 54, 56, 55, 54]"
,,,"[11, 73, 54, 54, 69, 64, 54, 54, 56, 54, 54, 54, 64, 65, 54, 55, 58, 54, 54]"
,,,"[13, 73, 56, 56, 70, 66, 57, 56, 57, 56, 56, 56, 70, 66, 57, 56, 59, 56, 56]"
,,,"[10, 78, 58, 58, 73, 69, 59, 58, 59, 58, 58, 58, 61, 77, 60, 59, 61, 58, 58]"
,,,"[8, 78, 56, 56, 77, 61, 56, 56, 58, 56, 56, 56, 63, 67, 60, 56, 61, 56, 56]"
,,,"[9, 70, 50, 50, 64, 59, 50, 50, 50, 50, 50, 50, 61, 59, 51, 50, 54, 50, 50]"
,,,"[7, 81, 58, 58, 78, 65, 58, 58, 59, 58, 58, 58, 74, 67, 58, 58, 60, 59, 58]"
,,,"[10, 72, 52, 52, 69, 56, 54, 52, 53, 52, 52, 52, 65, 61, 53, 52, 54, 52, 52]"
,,,"[8, 72, 50, 50, 67, 54, 50, 50, 52, 50, 50, 50, 63, 57, 51, 50, 54, 50, 50]"
,,,"[7, 64, 43, 42, 53, 48, 43, 42, 42, 43, 42, 42, 50, 51, 42, 42, 45, 42, 42]"
,,,"[8, 74, 52, 52, 67, 60, 53, 52, 53, 52, 52, 52, 58, 66, 53, 52, 56, 52, 52]"
,,,"[10, 78, 58, 58, 73, 70, 58, 58, 56, 60, 58, 58, 72, 67, 59, 58, 60, 59, 59]"
,,,"[8, 72, 50, 50, 64, 58, 50, 50, 51, 50, 50, 50, 56, 64, 52, 51, 51, 50, 50]"
,,,"[9, 71, 50, 50, 62, 60, 50, 50, 50, 51, 50, 50, 56, 65, 51, 50, 53, 50, 50]"
,,,"[10, 66, 46, 46, 60, 53, 46, 46, 46, 47, 46, 46, 55, 55, 47, 46, 49, 46, 46]"
